,"SOONER RELEAF, LLC 
Trade Name: NONE",,,DAAA-M0HE-JONV,SOONERRELEAF@GMAIL.COM,9186880889,GLENPOOL,74033,TULSA
0,"SOONER RELEAF, LLC 
Trade Name: NONE",,,DAAA-M0HE-JONV,SOONERRELEAF@GMAIL.COM,9186880889,GLENPOOL,74033,TULSA
1,"THE LIFTED GREEN LLC 
Trade Name: LIFTED RELEAF",,,DAAA-CEBU-AKK1,LIFTEDRELEAF@GMAIL.COM,9189510839,GLENPOOL,74033,TULSA
2,"DISPENSARIES UNLIMITED 
Trade Name: THE HIGHWAY CONNECTION",,,DAAA-E1DW-FC3J,RHARMON@PLDI.NET,4057602601,GOLDSBY,73093,MCCLAIN
3,"TWO RIVERS CANNABIS COMPANY 
Trade Name:",,,DAAA-NJL6-5XPD,BCROWS00@GMAIL.COM,9182084084,GORE,74435,SEQUOYAH
4,"STONED 4 SURVIVAL L.L.C. 
Trade Name: STONED 4 SURVIVAL",,,DAAA-EKE1-9RYV,STONED4SURVIVAL@GMAIL.COM,5807435915,GRANT,74738,CHOCTAW
5,"ANCIENT ROOTS CANNABIS, LLC. 
Trade Name: ANCIENT ROOTS CANNABIS, LLC.",,,DAAA-AALJ-UAYH,"HAMPTONACCOUNTING@YAHOO.C
OM",9188013389,GROVE,74344,DELAWARE
6,"CANNA JACKS LLC 
Trade Name: CANNA JACKS",,,DAAA-VJVI-3VOV,DOUGSHOME76377@YAHOO.COM,9189640002,GROVE,74344,DELAWARE
7,"CLASSY HOLDINGS LLC 
Trade Name: FULL TILT CANNABIS",,,DAAA-PQUZ-3NKC,JASONELSASSERCV@GMAIL.COM,7606006809,GROVE,74344,DELAWARE
8,"CORPORATION ASSET NETWORK ASSOCIATION, LLC 
Trade Name: MINERVA CANNA",,,DAAA-VKIH-IZIT,JEFFLUND52@GMAIL.COM,9186978310,GROVE,74344,DELAWARE
9,"GB HERBAL WELLNESS INC 
Trade Name: GB HERBAL WELLNESS",,,"DAAA-V16X-
WOWD","GBHERBALWELLNESSINC@GMAIL.C
OM",9187914373,GROVE,74344,DELAWARE
10,"GRAND'S GOLDEN CANNA, LLC 
Trade Name: GRAND'S GOLDEN CANNA",,,"DAAA-NKNO-
5MIN",GRANDSGOLDEN@GMAIL.COM,9188011158,GROVE,74344,DELAWARE
11,"GREEN CULTURE LLC 
Trade Name: GREEN CULTURE GROVE",,,"DAAA-VYYK-
MSWH",UAZHAR@GMAIL.COM,9188991919,GROVE,74344,DELAWARE
12,,JMP AGRICULTURAL FARMS OF NORTH EASTERN OKLAHOMA,,"DAAA-MW1G-
CKMI",USAFLYER@SBCGLOBAL.NET,4058803791,GROVE,74344,DELAWARE
13,,INC.,,,,,,,
14,,Trade Name: GRAND LAKE CANNABIS,,,,,,,
15,"KING JAMES PHARMS LLC 
Trade Name: KING JAMES PHARMS LLC",,,DAAA-B1TB-8JS3,DSHAPARD3@HOTMAIL.COM,4058249555,GROVE,74344,DELAWARE
16,"MA &PA'S CANNA SHOP, INC 
Trade Name:",,,"DAAA-VKHG-
WBBV",MANDPSCANNA@GMAIL.COM,9188016034,GROVE,74344,DELAWARE
