,"220 FARMS LLC 
Trade Name: 420 MAIN DISPENSARY",DAAA-4J1S-4BKV,220FARMS918@GMAIL.COM,9188161922,MUSKOGEE,74401,MUSKOGEE
0,"220 FARMS LLC 
Trade Name: 420 MAIN DISPENSARY",DAAA-4J1S-4BKV,220FARMS918@GMAIL.COM,9188161922,MUSKOGEE,74401,MUSKOGEE
1,"918 ROOTS LLC 
Trade Name: 918 ROOTS",DAAA-4JK0-LLS7,OK918ROOTS@YAHOO.COM,9187181932,MUSKOGEE,74401,MUSKOGEE
2,"918ROOTS LLC 
Trade Name: 918ROOTS LLC",DAAA-ALQV-NHBF,BRAD@918ROOTS.COM,9187181932,MUSKOGEE,74403,MUSKOGEE
3,"GN 2950 MUSKOGEE 1 INNOVATIONS LLC 
Trade Name: GREEN NATION","DAAA-UAGX-
HGXQ",GNINNOVATIONS12@GMAIL.COM,5807436030,MUSKOGEE,74401,MUSKOGEE
4,"CBDP CORPORATION 
Trade Name: LEAF LIFE DISPENSARY",DAAA-4JSQ-8KVE,CASEY@THELEAFLIFEOK.COM,4052565010,MUSTANG,73064,CANADIAN
5,"EMPIRE DISPENSARY INC 
Trade Name: DOOBIES OF MUSTANG",DAAA-XEAT-OA4B,CHARPER@CHRISHARPERLAW.COM,4053590600,MUSTANG,73064,CANADIAN
6,"HERBAL RELEAF DISPENSARY, LLC 
Trade Name: HERBAL RELEAF DISPENSARY, LLC",DAAA-41HV-AIIV,HASHTAG405@YAHOO.COM,4052499837,MUSTANG,73064,CANADIAN
7,"INTEGRATED SUPPLY INC. 
Trade Name: WILD HORSE DISPENSARY",DAAA-4JR6-EGIY,"WILDHORSEDISPENSARY@GMAIL.C
OM",4544764775,MUSTANG,73064,CANADIAN
8,"MUSTANG PATIENT CARE, LLC 
Trade Name: FLIPPIN FARMS",DAAA-RKFL-LFWF,FLIPPINFARMSLLC@GMAIL.COM,5807163344,MUSTANG,73064,CANADIAN
9,"RED DIRT EXPERIENCE LLC 
Trade Name: RED DIRT EXPERIENCE",DAAA-DJ2A-PYDY,RED420DIRT@GMAIL.COM,9723336519,MUSTANG,73064,CANADIAN
10,"THE HEALTHY LEAF DISPENSARY, LLC 
Trade Name: THE HEALTHY LEAF DISPENSARY",DAAA-EJM8-HAH1,STACIBH@YAHOO.COM,4056309058,MUSTANG,73064,CANADIAN
11,"THE LOUD FLOWER LLC 
Trade Name:",DAAA-OSAF-B3QT,WES@THELOUDFLOWER.COM,4053970600,MUSTANG,73064,CANADIAN
12,"GB MAC INVESTMENTS CORPORATION 
Trade Name: GB MAC HIGH WAY 66 - CORDELL",DAAA-ENGX-JER8,"HIGHWAY66DISPENSARY@GMAIL.C
OM",5802140235,NEW CORDELL,73632,WASHITA
13,"DAVID'S CLOUD LLC 
Trade Name: DAVID'S CLOUD",DAAA-4DZE-38C2,THECLOUD1097@GMAIL.COM,4053142831,NEWALLA,74857,CLEVELAND
14,"BISON WELLNESS CO LLC 
Trade Name: BISON CANNABIS CO.",DAAA-VJOV-G33K,BISONCANNABIS@GMAIL.COM,4052135582,NEWCASTLE,73065,OKLAHOMA
