,"NATURAL STATE DISPENSARY, INC. 
Trade Name: NATURAL STATE DISPENSARY INC.",,,DAAA-4J28-DNFG,NATURALSTATEINC@GMAIL.COM,8706721085,HODGEN,74939,LE FLORE
0,"NATURAL STATE DISPENSARY, INC. 
Trade Name: NATURAL STATE DISPENSARY INC.",,,DAAA-4J28-DNFG,NATURALSTATEINC@GMAIL.COM,8706721085,HODGEN,74939,LE FLORE
1,"ADAM M ROMBERG 
Trade Name: MEDICINE LEAF",,,DAAA-4KKN-MFOR,MEDICINELEAF420@GMAIL.COM,4057120515,HOLDENVILLE,74848,HUGHES
2,"CALI-PURE LLC 
Trade Name: DAB DADDY",,,DAAA-VJFV-FCNR,"KJOHNSON@ROBINSONBROTHERSO
FFROAD.COM",4053793169,HOLDENVILLE,74848,HUGHES
3,,"FAMILY TRADITIONS MEDICAL MARIJUANA DISPENSARY,LLC",,"DAAA-N1RZ-
VPMQ","JESSICADANIELLELINDLEY1991@GM
AIL.COM",4057129837,HOLDENVILLE,74848,HUGHES
4,,Trade Name: FAMILY TRADITIONS MEDICAL MARIJUANA,,,,,,,
5,,"DISPENSARY,LLC",,,,,,,
6,"HI/LO BUDZ 
Trade Name:",,,DAAA-5BUS-WPJC,MICKEY@HILOBUDZ.COM,1405203762,HOLDENVILLE,74848,HUGHES
7,"ROCKIN B DISPENSARY LLC 
Trade Name:",,,DAAA-QGCA-ZN4E,BEVSANFORD54@GMAIL.COM,4057129952,HOLDENVILLE,74848,HUGHES
8,"F'NA BUDS, LLC. 
Trade Name: F'NA BUDS",,,"DAAA-WLXZ-
1SWQ",FNABUDS1@GMAIL.COM,5803810447,HOLLIS,73550,HARMON
9,"SLOW BURN MEDICAL DISPENSARY 
Trade Name: SLOW BURN MEDICAL DISPENSARY",,,"DAAA-V1YW-
EXQD",DEREKWOODS14884@YAHOO.COM,5803187897,HOLLIS,73550,HARMON
10,"SLOWBURN, LLC 
Trade Name:",,,"DAAA-TD8D-
P0GM",KARLI.OLIVER7@GMAIL.COM,5803185165,HOLLIS,73550,HARMON
11,"THE CORNER JOINT LLC 
Trade Name: THE CORNER JOINT",,,DAAA-NKUI-NJ4K,THECORNERJOINTLLC@GMAIL.COM,9182328810,HOMINY,74035,OSAGE
12,"TWO T'S TREES LLC 
Trade Name:",,,DAAA-4K42-BQXD,RODNEY@THEJAMBROS.COM,5804613768,HOOKER,73945,TEXAS
13,"BIG BOY BUDZ LLC 
Trade Name: BIG BOY BUDZ",,,DAAA-HGDQ-31PI,BIGBOYBUDZ1@GMAIL.COM,2142065801,HUGO,74743,CHOCTAW
14,"CARDINAL HOLDINGS, LLC 
Trade Name: WILD FLOWER BUD COMPANY",,,DAAA-VJN7-OUS3,"HEATHER@WILDFLOWERBUDCO.CO
M",5802392771,HUGO,74743,CHOCTAW
15,"DEEP SOUTH GREENERY 
Trade Name: DEEP SOUTH GREENERY",,,DAAA-NJZR-LY31,LANCESPARKS25@ME.COM,2147266479,HUGO,74743,CHOCTAW
16,"ELITE CONCENTRATES COMPANAY, LLC 
Trade Name:",,,DAAA-JVNG-VSAV,"ELITECONCENTRATESLLC@GMAIL.C
OM",4053807879,HUGO,74743,CHOCTAW
