,"HERBAL JUNCTION MARKET LLC 
Trade Name: HERBAL JUNCTION MARKET",DAAA-4KA3-VMZK,RANDYGCS@GMAIL.COM,9188518508,TULSA,74120,TULSA
0,"HERBAL JUNCTION MARKET LLC 
Trade Name: HERBAL JUNCTION MARKET",DAAA-4KA3-VMZK,RANDYGCS@GMAIL.COM,9188518508,TULSA,74120,TULSA
1,"HERBAL JUNCTION MARKET, LLC 
Trade Name: KIND LOVE","DAAA-VK9M-
VSTW",RANDY@KINDLOVEOK.COM,9188518508,TULSA,74120,TULSA
2,"LADY JANE'S NATURALS LLC 
Trade Name: LADY JANE'S NATURALS LLC",DAAA-EKW2-J1US,"LADYJANESNATURALS@GMAIL.CO
M",5393024562,TULSA,74120,TULSA
3,"MINDFULL MEDICAL, LLC 
Trade Name: THE PEAK EAST VILLAGE DISPENSARY",DAAA-VKKE-OMZF,SMITHFIT2@YAHOO.COM,9182711603,TULSA,74120,TULSA
4,"ROBOT PHARMER LLC 
Trade Name: ROBOT PHARMER GARDENS",DAAA-VJHM-Y9EG,"JOSHWHEAT@ROBOTPHARMER.CO
M",8172711339,TULSA,74120,TULSA
5,"SATIVA SAVVY, INC. 
Trade Name: SATIVA SAVVY",DAAA-N1L4-KLWC,SATIVASVY@GMAIL.COM,9188136731,TULSA,74120,TULSA
6,"THE FLOWER SHOP DISPENSARY, LLC 
Trade Name: NONE",DAAA-4JYG-IUOY,"JENNIFERS@THEFLOWERSHOPDISPE
NSARY.COM",9186259591,TULSA,74120,TULSA
7,"THE GREEN DOOR TULSA, LLC 
Trade Name:",DAAA-4YX0-07EW,HIGHESTCALIBUR.OK@GMAIL.COM,2065780507,TULSA,74120,TULSA
8,"TJD NATURAL SUPPLEMENTS LLC 
Trade Name: ENVIE A CANNABIS BOUTIQUE",DAAA-N1CP-PWIP,DONNARUNDO@YAHOO.COM,9188304986,TULSA,74120,TULSA
9,"TULSA HEALTH CLINICS, LLC 
Trade Name:",DAAA-4KX1-AHPP,LAURASMOLEN@GMAIL.COM,9186336438,TULSA,74120,TULSA
10,"TWC GROUP LLC 
Trade Name: TOKEN WELLNESS",DAAA-ALB9-0BHL,KATHY@TOKENWELLNESS.COM,2064278666,TULSA,74120,TULSA
11,"WPC DISPENSARY LLC 
Trade Name: 3 DOCS DISPENSARY",DAAA-VCCL-GUT0,JEFFH@3DOCS.NET,9185766443,TULSA,74120,TULSA
12,"GIBBS GREEN DELIVERY SERVICE INC 
Trade Name: GIBBS GREEN DELIVERY",DAAA-E1AI-ABNY,"OFFICEMAIL@GIBBSGREENDELIVER
Y.COM",9185517387,TULSA,74126,TULSA
13,"GREEN QUEENS MEDICAL MARIJUANA PROCESSOR LLC 
Trade Name: GREEN QUEENS DISPENSARY",DAAA-4K8Y-14EN,GREENQUEENS918@GMAIL.COM,9183045297,TULSA,74126,TULSA
14,"PREMIUM CANNABIS PLUG LLC 
Trade Name: PREMIUM CANNABIS PLUG LLC",DAAA-N1QU-PXZO,PREMIUMCPLUG@GMAIL.COM,9187648332,TULSA,74126,TULSA
