,"BUZZED LEAF, LLC 
Trade Name: BUZZED LEAF",DAAA-PZQI-YOE4,MOORECHRISJ13@GMAIL.COM,5806787978,LAWTON,73507,COMANCHE
0,"BUZZED LEAF, LLC 
Trade Name: BUZZED LEAF",DAAA-PZQI-YOE4,MOORECHRISJ13@GMAIL.COM,5806787978,LAWTON,73507,COMANCHE
1,"CANNA CULTURE DISPENSARY LLC 
Trade Name: CANNA CULTURE DISPENSARY",DAAA-4YUC-QXSE,CANNACULTURE@ATT.NET,5809192161,LAWTON,73507,COMANCHE
2,"DARMIC FARMS DISPENSARY LLC 
Trade Name: DARMIC FARMS DISPENSARY LLC",DAAA-KIK0-C0A6,DARMICFARMS@GMAIL.COM,5102609299,LAWTON,73507,COMANCHE
3,"FUSION AMS, LLC 
Trade Name: FUSION AMS, LLC",DAAA-EJSQ-6RLN,FUSIONAMSOK.KATIE@GMAIL.COM,5805746636,LAWTON,73507,COMANCHE
4,"MJC INVESTMENTS LLC DBA. THE BUD RANCH 
Trade Name:",DAAA-EJAG-N9QD,"STORAGERANCH.LAWTON@GMAIL.
COM",5804672155,LAWTON,73507,COMANCHE
5,"QUEEN CROWN CANNABIS LLC 
Trade Name:",DAAA-419A-CHQG,RASHARDADREWS@GMAIL.COM,5806990537,LAWTON,73507,COMANCHE
6,"RICIA DANIELS 
Trade Name: RICIA DANIELS",DAAA-NYDN-7ND5,RICIADANIELS@AOL.COM,9034361894,LAWTON,73507,COMANCHE
7,"SIMPLEX WELLNESS RX, LLC 
Trade Name: CRITICAL HIT",DAAA-419U-PEDP,"CANDACE@SIMPLEXWELLNESS.CO
M",7132313844,LAWTON,73507,COMANCHE
8,"SOUR KUSH LLC 
Trade Name: SOUR KUSH",DAAA-RTFB-CQB9,MRD.SOURKUSH@GMAIL.COM,9729483373,LAWTON,73507,COMANCHE
9,"THE MARIJUANA BAR LLC 
Trade Name: THE MARIJUANA BAR LLC",DAAA-SB5K-3NGM,THEMARIJUANABAR@GMAIL.COM,5806990537,LAWTON,73507,COMANCHE
10,"VERTICAL ABYSS LLC 
Trade Name: CBD PLUS USA",DAAA-EJOR-LKRY,BINSWORTH@CBDPLUSUSA.COM,5806786629,LAWTON,73507,COMANCHE
11,"THE BIG CHIEF DRIVE-THRU 2 LLC 
Trade Name: THE BIG CHIEF DRIVE-THRU 2",DAAA-NJGX-KVVJ,JASON.MILLER9271@GMAIL.COM,5806786795,LAWTON,73507,COMANCHE
12,"HWY 49 CANNABIS & MORE, INC. 
Trade Name:","DAAA-W8NN-
O1FD","49CANNABISANDMORE@GMAIL.CO
M",5802108126,LAWTON,73507,COMANCHE
13,"HWY 49 CANNABIS AND MORE, INC 
Trade Name:",DAAA-NJAI-MBEP,"49CANNABISANDMORE@GMAIL.CO
M",5802108126,LAWTON,73507,COMANCHE
14,"64 DISPENSARY, LLC 
Trade Name: 64 DISPENSARY, LLC","DAAA-N1YB-
NMCH",RODSKI25@GMAIL.COM,5809171969,LAWTON,73505,COMANCHE
