,"EDEN PHARMACEUTICALS, LLC 
Trade Name: EDEN PHARMACEUTICALS",,,DAAA-4KPI-JYR0,MICAHAYS12@GMAIL.COM,4055842091,MIDWEST CITY,73110,OKLAHOMA
0,"EDEN PHARMACEUTICALS, LLC 
Trade Name: EDEN PHARMACEUTICALS",,,DAAA-4KPI-JYR0,MICAHAYS12@GMAIL.COM,4055842091,MIDWEST CITY,73110,OKLAHOMA
1,"ELM STREET DISPENSARY LLC 
Trade Name:",,,DAAA-41FK-MB4O,"ELMSTREETDISPENSARY@GMAIL.CO
M",4054134979,MIDWEST CITY,73110,OKLAHOMA
2,,FIREHOUSE FARMS LLC,,DAAA-NKKJ-PQE4,GRAILPA71@GMAIL.COM,4054146438,MIDWEST CITY,73110,OKLAHOMA
3,,Trade Name: THE GREENHOUSE  REMEDIES DISPENSARY AND,,,,,,,
4,,WELLNESS,,,,,,,
5,"FRED'S FARMACOPIA EMPORIUM LTD 
Trade Name:",,,DAAA-NKK7-YI9O,BAYW@FREDSFARMACOPIA.COM,4055014479,MIDWEST CITY,73110,OKLAHOMA
6,"GREEN BEE MEDS, LLC 
Trade Name:",,,DAAA-NK67-PT7I,KEVINBD@GMAIL.COM,6263751440,MIDWEST CITY,73110,OKLAHOMA
7,"GREEN ELEPHANT DISPENSARY, LLC 
Trade Name: GREEN ELEPHANT",,,DAAA-EYMC-PF9C,OKLAHOMASIZE@AOL.COM,4054216408,MIDWEST CITY,73110,OKLAHOMA
8,"HAPPY GOODFELLOW'S LLC 
Trade Name: GREEN PLUS",,,DAAA-4JSH-J2LS,"HAPPYGOODFELLOWS@GMAIL.CO
M",4055034450,MIDWEST CITY,73110,OKLAHOMA
9,"HARRIBO, LLC 
Trade Name: THE GREEN TEMPLE",,,DAAA-KYEI-KSD3,ZACBOMAR@LIVE.COM,4797193308,MIDWEST CITY,73110,OKLAHOMA
10,"K FOR KUSH LLC 
Trade Name: K FOR KUSH",,,DAAA-4JRE-IM1Z,XEBIROKR@GMAIL.COM,4059790536,MIDWEST CITY,73110,OKLAHOMA
11,"PACHAMA LLC 
Trade Name: GREEN HEALTH CLINIC",,,DAAA-EKU6-X2QE,K.SULLIVAN25@YAHOO.COM,8064338769,MIDWEST CITY,73110,OKLAHOMA
12,"POT OF GOLD, LLC 
Trade Name: POT OF GOLD, LLC",,,"DAAA-0OSQ-
M3HP",LISSA@POTOFGOLDLLC.COM,7204996170,MIDWEST CITY,73110,OKLAHOMA
13,"RS.RV ENTERPRISES LLC 
Trade Name: CBD PLUS USA",,,DAAA-V1LJ-W4TL,MWC.OWNER@CBDPLUSUSA.COM,4054317677,MIDWEST CITY,73110,OKLAHOMA
14,"SOUL LEAF LLC 
Trade Name: SOUL LEAF",,,DAAA-EY8X-A4MI,S.FRANKLIN9@ICLOUD.COM,4052509520,MIDWEST CITY,73110,OKLAHOMA
15,"THE GREEN TEMPLE 
Trade Name:",,,DAAA-NJ1I-KI0H,"GMCCUTCHAN@GREAT-
WESTCORP.COM",4054082618,MIDWEST CITY,73110,OKLAHOMA
16,"TK0528, LLC 
Trade Name: CAPITAL DANK",,,DAAA-EK8Y-UVFR,"KAIMBRIWHITE@CLIMB-
COLLECTIVE.COM",4698882423,MIDWEST CITY,73110,OKLAHOMA
