,Unnamed: 0,0,1,2,3,4,5,6,7,8
0,0,"AFFORDABLE CANNABIS LLC 
Trade Name: AFFORDABLE CANNABIS LLC",DAAA-4YLJ-MSMT,"BELINDASLAKEPARADISE@GMAIL.C
OM",5803202301,ADA,74820.0,PONTOTOC,,
1,1,"ALL NATURAL SOLUTIONS LLC 
Trade Name: ALL NATURAL SOLUTIONS",DAAA-7AIW-VKIL,ALLNATURALADA@ATT.NET,5802724041,ADA,74820.0,PONTOTOC,,
2,2,"ALPHA DISPENSARY OF OKLAHOMA, LLC 
Trade Name:",DAAA-IAAN-QZA7,NEW.GARDEN.OK@GMAIL.COM,4048893333,ADA,74820.0,PONTOTOC,,
3,3,"CAIN'S CANNABIS 
Trade Name: 2 CAIN'S LLC",DAAA-4KEO-TRND,TWOCAINS@YAHOO.COM,5802798435,ADA,74820.0,PONTOTOC,,
4,4,"CHIMNEY HILL APOTHECARY LLC 
Trade Name: CHIMNEY HILL APOTHECARY LLC",DAAA-E11N-WX1L,"CHIMNEYHILLAPOTHECARY@GMAIL
.COM",5802790514,ADA,74820.0,PONTOTOC,,
5,5,"COLECAMP INC 
Trade Name: COLECAMP INC DBA FLOWER CHILD ORGANICS",DAAA-EKJK-35PE,"FLOWERCHILDORGANICSADA@GM
AIL.COM",5805599220,ADA,74820.0,PONTOTOC,,
6,6,"DAWN'S LIGHT, LLC 
Trade Name: DAWN'S LIGHT",DAAA-4K8B-V6IS,ARCHIEVANHORN@YAHOO.COM,5802724305,ADA,74820.0,PONTOTOC,,
7,7,"FLOWER-ON PRODUCTIONS, LLC 
Trade Name: FLOWER FACTORY FINE CANNABIS",DAAA-XH5T-95RJ,"FLOWERONPRODUCTIONS@GMAIL.
COM",5804651769,ADA,74820.0,PONTOTOC,,
8,8,"GREEN SUPREME DISPENSARY, LLC 
Trade Name: GREEN SUPREME",DAAA-EYOB-KFIV,GREENSUPREME2019@GMAIL.COM,4054206370,ADA,74820.0,PONTOTOC,,
9,9,"HAZE THERAPEUTICS LLC 
Trade Name:",DAAA-4J26-L4KG,DAVIDBAYSIDE@GMAIL.COM,5803993370,ADA,74820.0,PONTOTOC,,
10,10,"KSPM MEDICAL LLC 
Trade Name: CBD PLUS USA",DAAA-4JMT-NXSO,KEVINOKC405@GMAIL.COM,4053712484,ADA,74820.0,PONTOTOC,,
11,11,"NATIVE HARVEST LLC 
Trade Name:",DAAA-EJNQ-IBYL,MARTYL@BIGREDSPORTS.COM,4056065588,ADA,74820.0,PONTOTOC,,
12,12,"PAMELA BRANNON 
Trade Name: PARADISE DISPENSARIES",DAAA-VKDP-HYFV,PT_550@HOTMAIL.COM,5802796971,ADA,74820.0,PONTOTOC,,
13,0,"DIESEL CANNABIS COMPANY 
Trade Name: DIESEL",DAAA-VJD6-BUE4,LEDDY.MICHAEL@ICLOUD.COM,7193515122,BETHANY,73008.0,OKLAHOMA,,
14,1,"FIRE HOUSE LLC 
Trade Name:",DAAA-UISI-Z823,V.M.GREENJR@GMAIL.COM,4059628438,BETHANY,73008.0,OKLAHOMA,,
15,2,"GAYLE'S MEDICAL MARIJUANA, LLC 
Trade Name: GAYLE'S DISPENSARY",DAAA-E1YY-THU9,GAYLESMMLLC@GMAIL.COM,4052016178,BETHANY,73008.0,OKLAHOMA,,
16,3,"IRIE COUGHEE SHOP L.L.C. 
Trade Name: IRIE COUGHEE SHOP L.L.C.",DAAA-4JIM-62W0,IRIECOUGHEE@GMAIL.COM,4055144226,BETHANY,73008.0,OKLAHOMA,,
17,4,"KNUCKLEHEADS DISPENSARY LLC 
Trade Name: KNUCKLEHEADS DISPENSARY",DAAA-B09C-S0FQ,MONTY_DANIELS@YAHOO.COM,4052749442,BETHANY,73008.0,OKLAHOMA,,
18,5,"KOTTON MOUTH DISPENSARY LLC 
Trade Name: KOTTON MOUTH DISPENSARY",DAAA-TOI2-8KUX,"COURTNEYTHANPHACHANH@ICLO
UD.COM",4056251684,BETHANY,73008.0,OKLAHOMA,,
19,6,"MEDICANN-OK LLC 
Trade Name:",DAAA-E1KS-QXIB,MEDICANNOK@GMAIL.COM,4054700642,BETHANY,73008.0,OKLAHOMA,,
20,7,"NEEDHAM JO ENTERPRISE LLC 
Trade Name: THE GREAT BARRIER REEFER MEDICAL DISPENSARY",DAAA-4J2K-YMIV,DAVID.WALKER3524@GMAIL.COM,8189705222,BETHANY,73008.0,OKLAHOMA,,
21,8,"SB BETHANY LLC 
Trade Name: STARBUDS",DAAA-EKCA-1V0Q,JJJONES3030@ICLOUD.COM,4058088726,BETHANY,73008.0,OKLAHOMA,,
22,9,"THE LEAF HEALTHY LIVING LLC 
Trade Name: THE LEAF",DAAA-41JK-ZF51,V.M.GREENJR@GMAIL.COM,4059628438,BETHANY,73008.0,OKLAHOMA,,
23,10,"THE SMELLY CLOUD, LLC 
Trade Name:",DAAA-VJ7R-HTKX,MIKEARNETT1@GMAIL.COM,4057670522,BETHANY,73008.0,OKLAHOMA,,
24,11,"CANNABLESS RETAIL 9 LLC 
Trade Name: CANNABLESS RETAIL 9",DAAA-NYB2-8IQU,EVICTORNGO@GMAIL.COM,4056354814,BETHANY,73008.0,OKLAHOMA,,
25,12,"RT 66 ORGANICS, INC. 
Trade Name: RT66 ORGANICS",DAAA-NJ2F-BAE2,TBIRD@66CANNABIS.COM,4056272930,BETHANY,73008.0,OKLAHOMA,,
26,13,"HIGHBORN NATURAL MEDS, LLC 
Trade Name:",DAAA-SZSX-ENPJ,HIGHBORN.NATURAL@GMAIL.COM,7605006905,BIG CABIN,74332.0,MAYES,,
27,14,"MAINSTREET 420 SHOP 
Trade Name:",DAAA-41NI-4FPS,"MAINSTREET420SHOPLLC@YAHOO.
COM",4059331358,BINGER,73009.0,CADDO,,
28,0,"BRIAN'S BRAIN  FOOD LLC 
Trade Name: BRIAN'S BRAIN FOOD LLC",DAAA-4JJE-UTYO,BEPOWLEY@AOL.COM,4057223663,OKLAHOMA CITY,73162.0,OKLAHOMA,,
29,1,"ELLISON INVESTMENTS 
Trade Name: DOPE DISPENSARIES OR A DOPE CANNABIS CO",DAAA-VYV4-WP9L,"GREENLEAFSUPPLYOKC@GMAIL.CO
M",4052103007,OKLAHOMA CITY,73162.0,OKLAHOMA,,
30,2,"KURED CANNABIS COMPANY LLC 
Trade Name:",DAAA-NJEX-EXW7,CODYHARDRIDGE@GMAIL.COM,4056501114,OKLAHOMA CITY,73162.0,OKLAHOMA,,
31,3,"PJ&K MEDICAL LLC 
Trade Name: CBD PLUS USA",DAAA-NKID-XKHP,KEVINOKC405@GMAIL.COM,4053712484,OKLAHOMA CITY,73162.0,OKLAHOMA,,
32,4,"STEADY EDDI LLC 
Trade Name:",DAAA-4JDP-18FU,JESSICACHUMPHREY@YAHOO.COM,4058160420,OKLAHOMA CITY,73162.0,OKLAHOMA,,
33,5,"TERRY0528, LLC 
Trade Name: CAPITAL DANK",DAAA-VQZI-VU0X,JFD711@GMAIL.COM,2482488848,OKLAHOMA CITY,73162.0,OKLAHOMA,,
34,6,"TRUMED 
Trade Name: TRUMED",DAAA-VKK4-NQZE,NYKATTAN@GMAIL.COM,9726934255,OKLAHOMA CITY,73162.0,OKLAHOMA,,
35,7,"STARS AND STRIPES DISPENSARY LLC 
Trade Name: STARS & STRIPES",DAAA-EK4M-KRLM,"CHRISTOPHERJAMES1977@ICLOUD.
COM",6826679348,OKLAHOMA CITY,73169.0,OKLAHOMA,,
36,8,"DL-MNMVENTURES, LLC 
Trade Name: BUDDIES CANNABIS CO. - MOORE","DAAA-4KMQ-
QQV5",DL_MNMVENTURES@YAHOO.COM,4055132080,OKLAHOMA CITY,73170.0,OKLAHOMA,,
37,9,"GREEN MEDICAL PATIENTS LLC 
Trade Name: GREENDOCTOR420",DAAA-N1LJ-WTVP,CPARK@M2PCS.COM,2546308556,OKLAHOMA CITY,73170.0,CLEVELAND,,
38,10,"GREEN MESA DISPENSARY LLC 
Trade Name: GREEN MESA DISPENSARY",DAAA-LZAO-VZSW,CSISERVICESOKC@GMAIL.COM,4054569997,OKLAHOMA CITY,73170.0,CLEVELAND,,
39,11,"HIGHER GARDEN LLC 
Trade Name: HIGHER GARDEN",DAAA-4J6A-L6WQ,JOHN@HIGHERGARDENOK.COM,4052415377,OKLAHOMA CITY,73170.0,CLEVELAND,,
40,12,"KD VENTURES LLP 
Trade Name: THE FARMACY DISPENSARY",DAAA-VY5S-OIJ6,THEFARMACYON149@GMAIL.COM,4054734220,OKLAHOMA CITY,73170.0,CLEVELAND,,
41,13,"MTMB MEDICAL LLC 
Trade Name: CHEERS CANNABIS",DAAA-2YD5-FHNE,BAKERSMEDICAL@GMAIL.COM,4052298746,OKLAHOMA CITY,73170.0,OKLAHOMA,,
42,14,"ROMP MEDICINAL, LLC 
Trade Name:",DAAA-V1DC-HKUT,PJ@CBDPLUSUSA.COM,4054175333,OKLAHOMA CITY,73170.0,OKLAHOMA,,
