business,license,email,phone,city,zip,county,license_type,trade_name
"COASTA HOMA, LLC ",TAAA-NCOF-UF3E,CALAEB25@GMAIL.COM,4057404752,ADA,74820,PONTOTOC,transporter,
UR SMOKIN DELIVERY ,TAAA-VKZB-BSUZ,JAJENSEN06@GMAIL.COM,4054416540,ALLEN,74825,PONTOTOC,transporter,
D-LUV TRANSPORT LTD. CO. ,TAAA-6NR6-KI0Y,LUVS420@YAHOO.COM,5804718768,ALTUS,73521,JACKSON,transporter, D-LUVS TRANSPORT LTD. CO.
CANNALAB LLC ,TAAA-CIRX-CDDD,PRFULMER@GMAIL.COM,4052505750,ARDMORE,73401,OKLAHOMA,transporter, CANNALAB
SYNCROSCAPE BUSINESS SERVICES ,TAAA-XXBF-D15X,SYNCROSCAPE788@GMAIL.COM,5802775743,ARDMORE,73401,CARTER,transporter, SYNCROSCAPE BUSINESS SERVICES
"OMW, LLC ",TAAA-4KPX-B4ZO,BRUCE@BNJBUILDERS.COM,4058182507,BETHANY,73008,OKLAHOMA,transporter, OMW
"HERB'N COWBOYS DISTRIBUTING, LLC ",TAAA-NYCV-SFBE,WAYLON@HERBNCOWBOYS.COM,9182615054,BIXBY,74008,TULSA,transporter, HERB'N COWBOYS
"THE EXPANSE, LLC ",TAAA-DUIZ-31CX,KINI732@HOTMAIL.COM,4059199101,BLACKWELL,74631,KAY,transporter, THE EXPANSE
COUNTRY GIRLS SMOKIN TRANSPORT LLC ,TAAA-TEQS-BQYT,COUNTRYGIRLS_TRANSPORT@YAHOO.COM,9187160599,BOYNTON,74422,MUSKOGEE,transporter,
RONIN TRANSPORT LLC ,TAAA-0IJS-RJ8O,PIN8177@GMAIL.COM,9186999096,BROKEN ARROW,74011,TULSA,transporter, RONIN TRANSPORT
UNCONVENTIONAL LOGISTICS LLC ,TAAA-BVSQ-N25X,BRENNEN@PRESTIGEWORLDWIDECANNABIS.COM,9185652157,BROKEN ARROW,74012,TULSA,transporter,
CANNAPORT L.L.C. ,TAAA-VEVR-JDHE,CANNAPORTLLC@GMAIL.COM,4052465341,CHANDLER,74834,LINCOLN,transporter, CANNAPORT L.L.C.
APEX ASSET PROTECTION LLC ,TAAA-G3WR-MRB8,APEXAPLLC@GMAIL.COM,4058500377,CHICKASHA,73018,GRADY,transporter, APEX ASSET PROTECTION LLC
BASELINE LABORATORIES LLC ,TAAA-N8O5-KX3W,BMOSLEY@BASELINE-LABS.COM,4053902522,CHOCTAW,73020,OKLAHOMA,transporter, BASELINE LABORATORIES LLC
SECURE TRANSPORT MEDICAL MARIJUANA LLC ,TAAA-PCDE-ORI5,STMM00@OUTLOOK.COM,9186068880,COLCORD,74338,DELAWARE,transporter, STMMLLC
"ACME DISTRIBUTORS, LLC ",TAAA-QDGK-JPVA,ALEXIS@FORBIDDENFRUITSFARM.COM,4052473000,CYRIL,73029,CADDO,transporter,
GRIND ARTIST PRODUCTIONS LLC ,TAAA-BVTD-SNI2,GRINDARTISTPRODUCTIONS@YAHOO.COM,4055034146,DOVER,73734,KINGFISHER,transporter, GAP SPECIALTY TRANSPORT LLC
BUD'S TESTING LLC ,TAAA-GPUN-HFGS,LINDY@BUDSTESTING.COM,5806561651,DUNCAN,73533,STEPHENS,transporter, BUD'S TESTING LLC
PARADIGM TRANSPORTS LLC. ,TAAA-GHGL-VR9B,PARADIGMTRANSPORTINC@GMAIL.COM,5807993774,DUNCAN,73533,STEPHENS,transporter, PARADIGM TRANSPORTS
"FLOWERMOVER, LLC ",TAAA-2GFV-T7QR,SCHROEDER.BRITTANY@GMAIL.COM,4052586335,EDMOND,73034,OKLAHOMA,transporter," FLOWERMOVER, LLC"
"GREEN WHOLESALE DISTRIBUTORS, LLC ",TAAA-O5AI-YPAM,TTACCIA@GMAIL.COM,5805740800,EDMOND,73034,LOGAN,transporter," GREEN WHOLESALE DISTRIBUTORS, LLC"
EXPRESS TOXICOLOGY TRANSPORT SERVICES LLC ,TAAA-VKFS-DS8M,TRANSPORT@EXPRESSTOXICOLOGYSERVICES.COM,4052165788,EDMOND,73013,OKLAHOMA,transporter, EXPRESS TOXICOLOGY TRANSPORT SERVICES LLC
HONEY BEAR TRANSPORT LLC ,TAAA-XIWS-OINH,BABOOKER5184@GMAIL.COM,4197086471,EDMOND,73013,OKLAHOMA,transporter, HONEY BEAR TRANSPORT
SECURE TRANSPORT SOLUTIONS INC ,TAAA-TWCE-TGYN,BRYAN@SECURETRANSPORT.SOLUTIONS,4054963882,EDMOND,73034,LOGAN,transporter,
THE BLACKSTONE GROUP LLC ,TAAA-JOUF-AIG5,CALVIN.MIKELLGROUP@GMAIL.COM,7204275532,EDMOND,73013,OKLAHOMA,transporter, EMERALD TRANSPORT
TRANZPORT TECHS LLC ,TAAA-4K7R-VREB,INFO@TRANZTECHS.COM,4059062552,EDMOND,73003,OKLAHOMA,transporter,
WATERLOO CANNA-HAUL ,TAAA-UDGK-KZOT,KSTEVENER@HOTMAIL.COM,4055708984,EDMOND,73034,LOGAN,transporter, CANNA-HAUL
"ALREADY HIGH, LLC ",TAAA-VKGY-N7Y1,SUPPLY1490@GMAIL.COM,5805916113,FAXON,73540,COMANCHE,transporter,
HUSBAND & WIFE DISTRIBUTING ,TAAA-IF36-KPHO,PIPELINERCHRIS@AOL.COM,9186508449,GLENCOE,74032,PAYNE,transporter, H&W DISTRIBUTING
TJB RESTRICTED HOLDINGS ,TAAA-NBNC-SASW,TONY.BRIXEY@GENESISTESTINGLABS.COM,9183144245,GROVE,74344,DELAWARE,transporter, GENESIS TESTING LABS
COCHE VERDE LLC ,TAAA-JOJZ-BIPE,COCHEVERDELLC@GMAIL.COM,9187264463,HUGO,74743,CHOCTAW,transporter,
"GREEN DREAM PROCUREMENT, LLC ",TAAA-TCZ5-MSEE,GREENDREAMPROCUREMENT@GMAIL.COM,8324436758,LAHOMA,73754,GARFIELD,transporter, N/A
ELYSIAN VISION INC ,TAAA-JOO0-Z9Q3,ELYSIANVISION@YAHOO.COM,9517334611,MACOMB,74852,POTTAWATOMIE,transporter,
"DROP ZONE DISTRIBUTION, LLC ",TAAA-3FE2-DJHM,LDGBBLACK@GMAIL.COM,4055901819,MIDWEST CITY,73130,OKLAHOMA,transporter, DROP ZONE DISTRIBUTION
405 INTERCEPT L.L.C ,TAAA-7SCL-JNEZ,KMD9214@YAHOO.COM,4054749748,MOORE,73160,CLEVELAND,transporter,
"DOOBI DISTRIBUTION, LLC ",TAAA-YJIB-52V5,CHRISG@BBMOFOKC.COM,4054206530,NOBLE,73068,CLEVELAND,transporter,
BUCHANAN ENTERPRISES LLC ,TAAA-OS45-IQDP,BUCHANANENTERPRISESLLC@GMAIL.COM,4059334966,NORMAN,73071,CLEVELAND,transporter, ESSENTIAL TRANSPORT
RW TRANSPORT ,TAAA-Q4ZI-ROM0,RWADE1031@GMAIL.COM,4055505430,NORMAN,73071,CLEVELAND,transporter,
"DEMETER OK LABORATORY, LLC ",TAAA-ZRV1-UTJS,EWALLIS@DEMETERLAB.COM,4056050461,OKLAHOMA CITY,73112,OKLAHOMA,transporter, DEMETER LABORATORY
"FAST LABORATORIES OF OKLAHOMA CITY, LLC ",TAAA-41SQ-OTOU,KFELLING@FASTLABORATORIES.COM,5014029789,OKLAHOMA CITY,73135,OKLAHOMA,transporter, FAST LABS
"HALF TON HOLDINGS, LLC ",TAAA-KTZC-FJOG,MIKE@LIGHTNINGCREEKOK.COM,4053153633,OKLAHOMA CITY,73149,OKLAHOMA,transporter, DISTROTEK
"OMEGA SECURITY SPECIALISTS, INC. ",TAAA-CNDL-71SN,TKE423@GMAIL.COM,4053451730,OKLAHOMA CITY,73179,OKLAHOMA,transporter," CANNABIS SAFETY & SECURITY, INC."
"OVERLAND LOGISTICS, LLC ",TAAA-PX5C-L7FP,BLAKEF@OVERLANDLOGISTIC.COM,5803180538,OKLAHOMA CITY,73179,OKLAHOMA,transporter," OVERLAND LOGISTICS, LLC"
STRAIGHT FIRE LLC ,TAAA-EWZM-OBHZ,STRAIGHTFIREOK@GMAIL.COM,4052108144,OKLAHOMA CITY,73132,OKLAHOMA,transporter,
THE SUPPLY DISTRIBUTION LLC ,TAAA-VTMM-FGDG,BLAKE@THEMJSUPPLY.COM,4055340005,OKLAHOMA CITY,73134,OKLAHOMA,transporter,
VERDE TESTING LLC ,TAAA-41UC-PN8G,LIZ@VERDETESTING.COM,4056264839,OKLAHOMA CITY,73134,OKLAHOMA,transporter," VERDE TESTING, LLC"
WOKE DISTRIBUTION ,TAAA-OC4W-QN6U,WOKEDISTRIBUTION@GMAIL.COM,4052455654,OKLAHOMA CITY,73116,OKLAHOMA,transporter, WOKE DISTRIBUTION
NUTTYBUD LLC ,TAAA-NOKB-ZHBD,CYCURTIS154@YAHOO.COM,4056423294,PADEN,74860,OKFUSKEE,transporter, NUTTYBUD
"CANNABIS TRANSPORT BROKERS, LLC ",TAAA-P9BD-4QMH,CANNABISBROKEROKC@GMAIL.COM,4054139375,PIEDMONT,73078,CANADIAN,transporter," CANNABIS TRANSPORT BROKERS, LLC"
"TOWER ROAD TRANSPORTATION, LLC ",TAAA-0OM3-Q7S9,AJOUYANG@YAHOO.COM,9132445149,PONCA CITY,74601,KAY,transporter, TOWER ROAD TRANSPORTATION
"HIGHER TESTING, LLC ",TAAA-EYVC-GKJB,TY@HMS-US.COM,4795618811,ROLAND,74954,SEQUOYAH,transporter," HIGHER TESTING, LLC"
"ELITE ELEMENT TESTING LABORATORY, LLC ",TAAA-VKS3-YYDG,KANDICE.FAULKENBERRY@OK.STEEPHILL.COM,9183157892,SALLISAW,74955,SEQUOYAH,transporter, STEEP HILL OKLAHOMA
TRANSPORTATION & SECURITY SPECIALISTS LLC ,TAAA-OSUF-XSTE,AFORTNER@EXECUTIVESEC.NET,4178492767,SAND SPRINGS,74063,TULSA,transporter, TSS
MILE HIGH TRANSPORT LLC ,TAAA-7Z01-NSU0,MICHAELGRYDER@LIVE.COM,8324156690,SAPULPA,74066,CREEK,transporter, MILE HIGH TRANSPORT
"HIGH HORSE TRANSPORT, LLC ",TAAA-NIQN-KBFL,HIGHHORSETRANSPORT@GMAIL.COM,5807437307,SAWYER,74756,CHOCTAW,transporter,
JOHN BALES SECURITY SERVICES ,TAAA-NPTC-HFE3,REDONMINGO@YAHOO.COM,9187243510,TAHLEQUAH,74464,CHEROKEE,transporter,
DANK MOVES LLC ,TAAA-S2IU-XTAQ,DANKMOVES247@GMAIL.COM,4053143642,TECUMSEH,74873,POTTAWATOMIE,transporter, DANK MOVES LLC
CODY BRIDWELL ,TAAA-4JMY-WIYE,CODY.A.BRIDWELL@GMAIL.COM,9409024705,THACKERVILLE,73459,LOVE,transporter, CODY'S TRANSPORT
"DEFCON PROTECTION SERVICES, LLC ",TAAA-SJOE-OJPP,ALANHERRON21@GMAIL.COM,9188997257,TULSA,74137,TULSA,transporter," DEFCON PROTECTION SERVICES, LLC"
"RYCO SOLUTIONS, LLC ",TAAA-EJNV-O3HA,SHANE.F.FINN@GMAIL.COM,7033802312,TULSA,74112,TULSA,transporter, STASH HOUSE DISTRIBUTION
918 BUDS TRANSPORTING LLC ,TAAA-MQZI-CWLM,BUDS918@YAHOO.COM,9185516370,TULSA,74126,TULSA,transporter,
GREEN 2 GO LLC ,TAAA-XMBD-CSNK,LEONDONLEY@GMAI.COM,5392029031,TULSA,74112,TULSA,transporter,
GREEN TREK ,TAAA-W8FG-BOY1,CARL@GREENCRAFTOK.COM,9186398419,TULSA,74133,TULSA,transporter, GREEN TREK
PAYCASH GROUP LLC ,TAAA-EKJA-WRLG,GARY@MEGAWAT.COM,9186293130,TULSA,74119,TULSA,transporter, PAYCASH GROUP LLC
T3 TRANSPORTATION LLC ,TAAA-IVCU-EKMB,MMARTUCCI@TULSAPAIN.ORG,9186450458,TULSA,74146,TULSA,transporter, STSOT
TACTICAL TRANSPORTATION LLC ,TAAA-NK1S-4NSJ,TREVOR@TACTICALTRANSPORTATIONOK.COM,9187296194,TULSA,74112,TULSA,transporter, TACTICAL TRANSPORTATION LLC
WATCHMEN SECURITY AND PROTECTIVE SERVICES LLC ,TAAA-4ORH-ADAN,GBATES4909@YAHOO.COM,9184889538,TULSA,74128,TULSA,transporter, WATCHMEN SECURITY AND PROTECTIVE SERVICES LLC
"CANNALYTICS LABORATORIES, LLC ",TAAA-NMO8-J0VU,MICAH@PROCANNALYTICS.COM,4053451050,WEATHERFORD,73096,CUSTER,transporter,
"REDMAN TRANSPORT, LLC ",TAAA-GP3Q-YMQ5,REDMANTRANSPORTLLC@GMAIL.COM,4054011832.0,OKLAHOMA CITY,73116,OKLAHOMA,transporter,
"STRONGHOLD TRANSPORTATION GROUP, LLC ",TAAA-NKNY-1SYG,INFO@STRONGHOLDPROTECTION.COM,4054390950.0,OKLAHOMA CITY,73107,OKLAHOMA,transporter, STRONGHOLD TRANSPORTATION
"WELL TRANSPORT, LLC ",TAAA-TAJJ-UJUU,ASHLEYD.REEVES@GMAIL.COM,4052065296.0,OKLAHOMA CITY,73162,OKLAHOMA,transporter,
"WHTC HOLDINGS, LLC ",TAAA-NJNC-ZMCC,WHOLLOWAY@OKCANNABISDIRECT.COM,4053185415.0,OKLAHOMA CITY,73117,OKLAHOMA,transporter, THE WEIGHT
CANNABIS TESTING LLC ,TAAA-CVHS-Y9F4,RBRITTEN@CANNABESTLABS.COM,4054882400.0,OKLAHOMA CITY,73118,OKLAHOMA,transporter, CANNABEST LABS
