business,license,email,phone,city,zip,county,license_type,trade_name
WALLGROWN LLC ,GAAA-VKUD-DJZF,WALLGROWN4230@GMAIL.COM,5803173755.0,ANTLERS,74523,PUSHMATAHA,growers, WALLGROWN
WAMMACK'S BUDS ,GAAA-VJQ7-WGEU,WAM2567@GMAIL.COM,5805794093.0,ANTLERS,74523,PUSHMATAHA,growers,
"DANK BUSHES, LLC. ",GAAA-P8IX-MIEB,TWILLI1067@AOL.COM,5807046079.0,APACHE,73006,CADDO,growers," DANK BUSHES, LLC."
"KCA MOTHERLAND FARMS, LLC ",GAAA-NQ1D-V0V3,BILL.SPAID@YAHOO.COM,8504680860.0,APACHE,73006,CADDO,growers, KCA MOTHERLAND FARMS
"OKLAHOMA, LLC PURE QUALITY FARMS, INC ",GAAA-ZDT2-QJPW,KHOBBS@MSN.COM,7604490284.0,APACHE,73006,CADDO,growers,
"ROCKY MOUNTAIN WAY, LLC ",GAAA-6KKK-PSNS,ROCKYMOUNTAINWAY20@GMAIL.COM,5804835662.0,APACHE,73006,CADDO,growers,
"SOUTHERN PLAINS PROCESSING, LLC ",GAAA-N172-3BDW,TJASPER@SPP-OK.COM,2144929962.0,APACHE,73006,CADDO,growers,
FLY HIGH CANNABIS ,GAAA-V1ZM-BXYG,FLYHIGHCANNABIS@GMAIL.COM,2016212269.0,APACHE,73006,CADDO,growers," FLY HIGH CANNABIS, LLC"
GREEN SCREEN LLC ,GAAA-NJS9-XW8S,JENKINS3998@GMAIL.COM,5805951345.0,APACHE,73006,COMANCHE,growers, PAKALOLO FARMS
KINE KINGS OPS ,GAAA-4JJ5-F6MN,KINEKINGSOPS@GMAIL.COM,5809173201.0,APACHE,73006,CADDO,growers, KINE KINGS
SEVEN 8 NINE DISPENSARY LLC ,GAAA-ZCBJ-AKR5,SEVEN8NINEDISPENSARY@GMAIL.COM,5805833889.0,APACHE,73006,CADDO,growers, SEVEN 8 NINE DISPENSARY GROW
STECKER BOYS LLC ,GAAA-VJBH-SMFB,GBARTON66@ICLOUD.COM,4052262465.0,APACHE,73006,CADDO,growers, STECKER BOYS LLC
"HARVEST GARDEN, LLC ",GAAA-PS0M-DRS1,HARVESTGARDENLLC@HOTMAIL.COM,4054205634.0,ARAPAHO,73620,CUSTER,growers, HARVEST GARDEN
5 EIGHT 0 ENTERPRISE LLC ,GAAA-4JG9-E7AN,5EIGHT0@OMEGA1W.NET,5804451402.0,ARAPAHO,73620,CUSTER,growers, SUNSET CANNABIS CO.
"GOLDEN BOLE FARMS, LLC ",GAAA-KVGO-FFVO,GOLDENBOLEFARMS@YAHOO.COM,9296669995.0,MUSKOGEE,74401,MUSKOGEE,growers, GOLDEN BOLE FARMS
"GREEN TRIDENT, LLC ",GAAA-VKP1-9VIM,NSANASHVILLE@GMAIL.COM,6153356863.0,MUSKOGEE,74401,MUSKOGEE,growers, LAZY LARRY'S
"GROFANITY FARMS, LLC ",GAAA-EYKM-5A8R,PICKLEGROWS@GROFANITYFARMS.COM,9189135092.0,MUSKOGEE,74401,MUSKOGEE,growers, GROFANITY FARMS
"HAPPY STAR, LLC ",GAAA-EJEZ-HSPN,JENNYARY2005@GMAIL.COM,6265921686.0,MUSKOGEE,74401,MUSKOGEE,growers,
"HWY 69 FARMS, LLC ",GAAA-H25B-YCBL,HWY69FARMS@GMAIL.COM,9187812314.0,MUSKOGEE,74401,MUSKOGEE,growers,
"INNER WORLD PHARMS, LLC ",GAAA-OIG2-6OMK,INNERWORLDPHARMS@HOTMAIL.COM,4054205634.0,MUSKOGEE,74401,MUSKOGEE,growers, INNER WORLD PHARMS
"JUN GREEN, LLC ",GAAA-EJQO-2XOF,MATT@STACYLEGALGROUP.COM,4058167228.0,MUSKOGEE,74401,MUSKOGEE,growers,
"LIN GREEN, LLC ",GAAA-VKVQ-FTFF,MATT@STACYLEGALGROUP.COM,4058167228.0,MUSKOGEE,74401,MUSKOGEE,growers,
"LUNDY FARMS, LLC ",GAAA-EJYB-1XUZ,LUNDBERG.CHAD@YAHOO.COM,9183482344.0,MUSKOGEE,74403,MUSKOGEE,growers," LUNDY FARMS, LLC"
"MOTA GROWER, LLC ",GAAA-4YS1-EFAM,MOTAEXPRESS1312@GMAIL.COM,9187608189.0,MUSKOGEE,74401,MUSKOGEE,growers,
"NAVIGATOR LIFE SERVICES, INC. ",GAAA-V1D7-NHL6,AJMITCHUM88@GMAIL.COM,9183606519.0,MUSKOGEE,74401,MUSKOGEE,growers, NAVIGATOR LIFE MEDICAL MARIJUANA CO.
"QUEZADA FARMS, LLC ",GAAA-RDTP-CPFT,MOSESQUEZADA91@GMAIL.COM,5597764755.0,MUSKOGEE,74401,MUSKOGEE,growers,
"RESTORATIVE, INC. ",GAAA-VJZJ-AQOB,MBARTORILLO@GMAIL.COM,6106204097.0,MUSKOGEE,74401,OKLAHOMA,growers," RESTORATIVE, INC."
"RIGHT ON TIME GROW CO., LLC ",GAAA-VJBR-0F6C,BURLBERRY@PARKHILLPLANTS.COM,9182079540.0,MUSKOGEE,74403,MUSKOGEE,growers," RIGHT ON TIME GROW CO., LLC"
