business,license,email,phone,city,zip,county,license_type,trade_name
"ABRAXAS LABS, LLC ",LAAA-MOXZ-FQ1G,DRVADIM@ABRAXAS-LABS.COM,9189245164,BROKEN ARROW,74012,TULSA,laboratory, ABRAXAS LABS
BASELINE LABORATORIES LLC ,LAAA-4KTI-YEVJ,BMOSLEY@BASELINE-LABS.COM,4053902522,CHOCTAW,73020,OKLAHOMA,laboratory, BASELINE LABORATORIES LLC
BUD'S TESTING L.L.C ,LAAA-VYI5-JUJK,BRANDON@BUDSTESTING.COM,5807862173,DUNCAN,73533,STEPHENS,laboratory, BUD'S TESTING L.L.C ANALYTICAL LABORATORY
"QUALITY CANNABIS, LLC ",LAAA-NY91-LPUX,WEBBCRYSTAL77@YAHOO.COM,4054715367,EDMOND,73003,OKLAHOMA,laboratory,
EXPRESS TOXICOLOGY SERVICES LLC ,LAAA-E1LK-2BLG,INFO@EXPRESSTOXICOLOGYSERVICES.COM,4052165788,EDMOND,73013,OKLAHOMA,laboratory,
"HAVARD INDUSTRIES, LLC ",LAAA-8SPC-5FH4,JHAVARD@PROTONMAIL.COM,4058880961,EDMOND,73034,OKLAHOMA,laboratory,
TJB RESTRICTED HOLDINGS LLC ,LAAA-EKZ6-UNEB,TONY.BRIXEY@GENESISTESTINGLABS.COM,9187913460,GROVE,74344,DELAWARE,laboratory, GENESIS TESTING LABORATORIES
405 ANALYTICAL LLC ,LAAA-NYWH-5XOE,laboratory@405analytical.com,4055485734,MIDWEST CITY,73110,OKLAHOMA,laboratory,
RHINO LABS ,LAAA-NYJX-RQRM,RYAN@RHINOLABSOK.COM,4054657676,NORMAN,73069,CLEVELAND,laboratory,
"ANALYTICAL EDGE DISCOVERIES, LLC ",LAAA-HHN8-MXQQ,ROBERT@KAYCHALABS.COM,4053703776,OKLAHOMA CITY,73105,OKLAHOMA,laboratory, KAYCHA LABS
"SCISSORTAIL LABORATORY, LLC ",LAAA-NKSL-JY3L,INFO@SCISSORTAILLABS.COM,4057880247,OKLAHOMA CITY,73107,OKLAHOMA,laboratory,
INTEGRITY TESTING LABORATORIES LLC ,LAAA-SSUC-08SY,CHARLESBOGIEMD@ME.COM,4055943773,OKLAHOMA CITY,73112,OKLAHOMA,laboratory,
CANNABIS TESTING LLC ,LAAA-4YOC-PGXU,RBRITTEN@CANNABESTLABS.COM,4054882400,OKLAHOMA CITY,73118,OKLAHOMA,laboratory, CANNABEST LABS
HIGHGRADE LABS ,LAAA-NKSE-J8CM,LAB@HIGHGRADELABS.COM,4057248444,OKLAHOMA CITY,73129,OKLAHOMA,laboratory,
PURELABS-OKC ,LAAA-NJR1-YZAD,HPURDY@PURELABSOKC.COM,4058856411,OKLAHOMA CITY,73139,OKLAHOMA,laboratory, PURELABS
DELTA9 LABS LLC ,LAAA-4KCW-FBED,INFO@DELTA9LABSLLC.COM,5803049392,PONCA CITY,74601,KAY,laboratory,
"HIGHER TESTING, LLC ",LAAA-VK6A-DPMO,INFO@HIGHERTESTING.COM,9185718757,ROLAND,74954,SEQUOYAH,laboratory," HIGHER TESTING, LLC"
"ELITE ELEMENT TESTING LABORATORY, LLC ",LAAA-NJT2-DMOG,KANDICE.FAULKENBERRY@OK.STEEPHILL.COM,9183157892,SALLISAW,74955,SEQUOYAH,laboratory, STEEP HILL OKLAHOMA
"GREEN COUNTRY TESTING, INC. ",LAAA-AYUG-T2AU,BRIAND@GREENCOUNTRYTESTING.COM,9188289977,TULSA,74145,TULSA,laboratory,
"OK COMPLIANCE TESTING LAB, LLC ",LAAA-N1FX-P5VY,EPHILLIPS@OKCTL.COM,9188727015,TULSA,74146,TULSA,laboratory, OKCTL
T3 TESTING LLC ,LAAA-A0B5-KFMY,SCAMPBELL@STSOKLAHOMA.COM,9186450458,TULSA,74146,TULSA,laboratory, SPECIALTY TESTING SOLUTIONS OKLAHOMA
"CANNALYTICS LABORATORIES, LLC ",LAAA-4YTM-SXWD,WOK@PROCANNALYTICS.COM,5803028196,WEATHERFORD,73096,CUSTER,laboratory," CANNALYTICS LABORATORIES, LLC"
