business,license,email,phone,city,zip,county,license_type,trade_name
WEEDMART LLC. ,DAAA-QPR8-RHZM,WEEDMARTLC@GMAIL.COM,9182080955.0,VIAN,74962,SEQUOYAH,dispensaries, WEEDMART #2
NORTH WEST HEALING LLC ,DAAA-41LM-T4DT,NORTHWESTHEALINGLLC@GMAIL.COM,5809953378.0,VICI,73859,DEWEY,dispensaries, NORTH WEST HEALING LLC
CLASSY HOLDINGS LLC ,DAAA-M33A-X5DT,JASON@UGRLABS.COM,7606006809.0,VINITA,74301,CRAIG,dispensaries, CLASSY GRASS
COPPERHEAD HOLLOW DISPENSARY LLC ,DAAA-4YUT-TXLD,FLHTCMAN@LIVE.COM,9188036975.0,VINITA,74301,CRAIG,dispensaries, COPPERHEAD HOLLOW DISPENSARY LLC
GREEN CROSS DISPENSARY ,DAAA-4KNM-UNC6,PARKCARTER43@ICLOUD.COM,9183231927.0,VINITA,74301,CRAIG,dispensaries, GREEN CROSS DISPENSARY
KANEH KEYS LLC ,DAAA-NYIC-VUA4,LORIEKEYS777@GMAIL.COM,9186072474.0,VINITA,74301,CRAIG,dispensaries, LOTUS GOLD
MEDS USA ,DAAA-NKYE-LSQ7,MEDSUSAVINITAOK@GMAIL.COM,9182612848.0,VINITA,74301,CRAIG,dispensaries,
NATURAL FINE HERBS LLC ,DAAA-41QV-ZHXL,SOUAYANG85@HOTMAIL.COM,9188152524.0,VINITA,74301,CRAIG,dispensaries," NATURAL FINE HERBS, LLC"
"PAPER PLANES, LLC ",DAAA-VJI0-80CT,THEHALLWAY999@GMAIL.COM,3167087267.0,VINITA,74301,CRAIG,dispensaries, REFINED FLOWER OF VINITA
CHARLES THOMAS GIBSON ,DAAA-41WT-TAUU,CHARLESTHOMAS.GIBSON@GMAIL.COM,9183607085.0,WAGONER,74467,WAGONER,dispensaries, DUB TOWN CANNABIS
DUBTOWN DANK LLC ,DAAA-VJ2F-E1LU,DUBTOWNDANK420@GMAIL.COM,9188645284.0,WAGONER,74467,WAGONER,dispensaries, DUBTOWN DANK
"EVO CANNABIS COMPANY WAGONER, LLC ",DAAA-EJBO-0YKK,TIK@EVOLUTIONONLINE.COM,9182075436.0,WAGONER,74467,WAGONER,dispensaries,
FOREVA BUZZIN LTD. CO. ,DAAA-VK5M-WPMO,FOREVABUZZINLTD.CO.62@GMAIL.COM,9184028203.0,WAGONER,74467,WAGONER,dispensaries, FOREVA BUZZIN LTD.CO.
"GREEN LIFE DISPENSARY, LLC ",DAAA-4J6I-P7RU,GREENLIFEDISPENSARY@YAHOO.COM,9187799655.0,WAGONER,74467,WAGONER,dispensaries," GREEN LIFE DISPENSARY, LLC"
"SOONER RELEAF, LLC ",DAAA-M0HE-JONV,SOONERRELEAF@GMAIL.COM,9186880889.0,GLENPOOL,74033,TULSA,dispensaries, NONE
THE LIFTED GREEN LLC ,DAAA-CEBU-AKK1,LIFTEDRELEAF@GMAIL.COM,9189510839.0,GLENPOOL,74033,TULSA,dispensaries, LIFTED RELEAF
DISPENSARIES UNLIMITED ,DAAA-E1DW-FC3J,RHARMON@PLDI.NET,4057602601.0,GOLDSBY,73093,MCCLAIN,dispensaries, THE HIGHWAY CONNECTION
TWO RIVERS CANNABIS COMPANY ,DAAA-NJL6-5XPD,BCROWS00@GMAIL.COM,9182084084.0,GORE,74435,SEQUOYAH,dispensaries,
STONED 4 SURVIVAL L.L.C. ,DAAA-EKE1-9RYV,STONED4SURVIVAL@GMAIL.COM,5807435915.0,GRANT,74738,CHOCTAW,dispensaries, STONED 4 SURVIVAL
"ANCIENT ROOTS CANNABIS, LLC. ",DAAA-AALJ-UAYH,HAMPTONACCOUNTING@YAHOO.COM,9188013389.0,GROVE,74344,DELAWARE,dispensaries," ANCIENT ROOTS CANNABIS, LLC."
CANNA JACKS LLC ,DAAA-VJVI-3VOV,DOUGSHOME76377@YAHOO.COM,9189640002.0,GROVE,74344,DELAWARE,dispensaries, CANNA JACKS
CLASSY HOLDINGS LLC ,DAAA-PQUZ-3NKC,JASONELSASSERCV@GMAIL.COM,7606006809.0,GROVE,74344,DELAWARE,dispensaries, FULL TILT CANNABIS
"CORPORATION ASSET NETWORK ASSOCIATION, LLC ",DAAA-VKIH-IZIT,JEFFLUND52@GMAIL.COM,9186978310.0,GROVE,74344,DELAWARE,dispensaries, MINERVA CANNA
GB HERBAL WELLNESS INC ,DAAA-V16X-WOWD,GBHERBALWELLNESSINC@GMAIL.COM,9187914373.0,GROVE,74344,DELAWARE,dispensaries, GB HERBAL WELLNESS
"GRAND'S GOLDEN CANNA, LLC ",DAAA-NKNO-5MIN,GRANDSGOLDEN@GMAIL.COM,9188011158.0,GROVE,74344,DELAWARE,dispensaries, GRAND'S GOLDEN CANNA
GREEN CULTURE LLC ,DAAA-VYYK-MSWH,UAZHAR@GMAIL.COM,9188991919.0,GROVE,74344,DELAWARE,dispensaries, GREEN CULTURE GROVE
KING JAMES PHARMS LLC ,DAAA-B1TB-8JS3,DSHAPARD3@HOTMAIL.COM,4058249555.0,GROVE,74344,DELAWARE,dispensaries, KING JAMES PHARMS LLC
"MA &PA'S CANNA SHOP, INC ",DAAA-VKHG-WBBV,MANDPSCANNA@GMAIL.COM,9188016034.0,GROVE,74344,DELAWARE,dispensaries,
"NATURAL STATE DISPENSARY, INC. ",DAAA-4J28-DNFG,NATURALSTATEINC@GMAIL.COM,8706721085.0,HODGEN,74939,LE FLORE,dispensaries, NATURAL STATE DISPENSARY INC.
ADAM M ROMBERG ,DAAA-4KKN-MFOR,MEDICINELEAF420@GMAIL.COM,4057120515.0,HOLDENVILLE,74848,HUGHES,dispensaries, MEDICINE LEAF
CALI-PURE LLC ,DAAA-VJFV-FCNR,KJOHNSON@ROBINSONBROTHERSOFFROAD.COM,4053793169.0,HOLDENVILLE,74848,HUGHES,dispensaries, DAB DADDY
HI/LO BUDZ ,DAAA-5BUS-WPJC,MICKEY@HILOBUDZ.COM,1405203762.0,HOLDENVILLE,74848,HUGHES,dispensaries,
ROCKIN B DISPENSARY LLC ,DAAA-QGCA-ZN4E,BEVSANFORD54@GMAIL.COM,4057129952.0,HOLDENVILLE,74848,HUGHES,dispensaries,
