,Unnamed: 0,0,1,2,3,4,5,6,7,8
0,0,"AAA PROCESSING LLC 
Trade Name: AAA PROCESSING LLC",PAAA-7MU6-ZGRF,CORTEZCOLEMAN@ICLOUD.COM,5803996215,ADA,74820.0,PONTOTOC,,
1,1,"ALL NATURAL SOLUTIONS LLC 
Trade Name: ALL NATURAL",PAAA-SBDR-JD2T,ALLNATURALADA@ATT.NET,5802724041,ADA,74820.0,PONTOTOC,,
2,2,"BDR SOLUTIONS LLC 
Trade Name: BDR SOLUTIONS",PAAA-4Y3H-CPRI,"BELINDASLAKEPARADISE@GMAIL.C
OM",5803202301,ADA,74820.0,PONTOTOC,,
3,3,"BIG POPPA'S LLC 
Trade Name: BIG POPPA'S LLC",PAAA-NYLS-DU8H,BIGPOPPASLLC@YAHOO.COM,5804212323,ADA,74820.0,PONTOTOC,,
4,4,"BOGGY CREEK FARMS 
Trade Name: BOGGY CREEK FARMS",PAAA-VWNV-RB5K,RUSSLOLLAR@GMAIL.COM,5803990636,ADA,74820.0,PONTOTOC,,
5,5,"DALLAS SKYLINE CORPORATION 
Trade Name: DANK OF AMERICA","PAAA-4JBM-
UBWU",QUORUM@VESLOILS.COM,4697048234,ADA,74820.0,PONTOTOC,,
6,6,"EL DIABLO'S LETTUCE INCORPORATED 
Trade Name:",PAAA-EKA8-9IW7,MIKEB69691987@GMAIL.COM,5803200759,ADA,74820.0,PONTOTOC,,
7,7,"EXTRA TERRITORY LABS, LLC 
Trade Name:",PAAA-EJLA-GEVD,ASINGER@DERRYBERRYLAW.COM,4055286569,ADA,74820.0,PONTOTOC,,
8,8,"HG VENTURES, L.L.C. 
Trade Name: PROGRESSIVE GROW LABS",PAAA-VJU8-YPS7,HGVENTURESLLC@GMAIL.COM,5803990441,ADA,74820.0,PONTOTOC,,
9,9,"KIND ORIGIN CANNABIS LLC 
Trade Name:",PAAA-4KUF-ZP8D,CAMRONOWENS9@GMAIL.COM,5802790790,ADA,74820.0,PONTOTOC,,
10,10,"LEGACY LABORATORIES LLC 
Trade Name:",PAAA-1L4U-DHQX,LEGACYLABS20@GMAIL.COM,4057120317,ADA,74820.0,PONTOTOC,,
11,11,"MYSTIK FARMS LLC 
Trade Name: MYSTIK FARMS",PAAA-VJ7N-P1YV,ARYDANIA@COMCAST.NET,5806659024,ADA,74820.0,PONTOTOC,,
12,12,"PONTOTOC CANNABIS, LLC 
Trade Name: PONTOTOC EXTRACTS",PAAA-4118-3TM8,SHANE.CRISTELLI@GMAIL.COM,5806655077,ADA,74820.0,PONTOTOC,,
13,0,"MEDIREC OKLAHOMA, LLC 
Trade Name: MEDIREC OKLAHOMA, LLC",PAAA-NYFD-3MUV,MATT@STACYLEGALGROUP.COM,4058167228,BLANCHARD,73010.0,GRADY,,
14,1,"MY LIEN GREEN LLC 
Trade Name:",PAAA-VDFC-WGX5,MATT@STACYLEGALGROUP.COM,4058167228,BLANCHARD,73010.0,GRADY,,
15,2,"NTP BROS LLC 
Trade Name: NTP BROS LLC",PAAA-RBZL-B5OG,MATT@STACYLEGALGROUP.COM,4057353800,BLANCHARD,73010.0,GRADY,,
16,3,"OKLAHOMA GREEN LLC 
Trade Name: OKLAHOMA GREEN LLC",PAAA-NJSH-GRSI,BRYCE@BINYONLS.COM,4057602706,BLANCHARD,73010.0,MCCLAIN,,
17,4,"OUTASIGHT PRODUCTS LLC 
Trade Name: OUTASIGHT PRODUCTS",PAAA-CFOW-SC0T,TRENTRH@YAHOO.COM,4056131012,BLANCHARD,73010.0,MCCLAIN,,
18,5,"PACBOY FARMS LLC 
Trade Name: PACBOY FARMS LLC",PAAA-KQV8-K5QR,MATT@STACYLEGALGROUP.COM,4058167228,BLANCHARD,73010.0,OKLAHOMA,,
19,6,"PSYCH LLC 
Trade Name: PSYCH EXTRACTS",PAAA-Z2TN-OCPR,SKYLER@MARIHAHA.COM,4695161916,BLANCHARD,73010.0,MCCLAIN,,
20,7,"QUALITY CANNABIS DBA PHI ORGANICS 
Trade Name: PHI ORGANICS",PAAA-4JOB-PJE1,"QUALITYCANNABISINC@GMAIL.CO
M",4056598839,BLANCHARD,73010.0,GRADY,,
21,8,"QUN LIN GREEN LLC 
Trade Name:",PAAA-PGCS-FGGB,MATT@STACYLEGALGROUP.COM,4058167228,BLANCHARD,73010.0,GRADY,,
22,9,"REDWOOD CAPITAL HOLDINGS LLC 
Trade Name:",PAAA-KX5O-6DSI,MATT@STACYLEGALGROUP.COM,4058167532,BLANCHARD,73010.0,GRADY,,
23,10,"SASSY GRASS PROCESSORS LLC 
Trade Name: SASSY GRASS PROCESSORS",PAAA-KOGO-QZJZ,"SASSYGRASSGROWERS@GMAIL.CO
M",4056646696,BLANCHARD,73010.0,GRADY,,
24,11,"SCREEN OF GREEN FARMS, LLC 
Trade Name:",PAAA-0YCD-0QEQ,GREG@SCROGFARMS.COM,4059909830,BLANCHARD,73010.0,GRADY,,
