business,license,email,phone,city,zip,county,license_type,trade_name
CORNERSTONE ENVIRONMENTAL SERVICES ,WAAA-2XVW-XVWM,TYLER.SMITH@GOTILLEY.COM,5807993774,DUNCAN,73533,STEPHENS,waste_disposal, CORNERSTONE ENVIRONMENTAL SERVICES
STEALTH BUSINESS SOLUTIONS ,WAAA-41VQ-NN3L,STEALTHBUSINESSSOLUTIONS@GMAIL.COM,4056405633,EDMOND,73003,OKLAHOMA,waste_disposal, STEALTH RECYCLE
"MAVEN ENERGY, LLC ",WAAA-B91V-AX5C,EGNITEWASTEMANAGEMENT@GMAIL.COM,4053148757,GUTHRIE,73044,LOGAN,waste_disposal, EGNITE WASTE MANAGEMENT
OKLAHOMA GREEN TO GOLD RECYCLING LLC. ,WAAA-WIPF-M8OX,DAAW8272@SBCGLOBAL.NET,4796510950,MEEKER,74855,POTTAWATOMIE,waste_disposal, OKLAHOMA GREEN TO GOLD RECYCLING LLC.
SOONER MEDICAL WASTE MANAGEMENT LLC ,WAAA-4YCA-4VEU,ELAINE@SOONERMEDICALWASTE.COM,4799261901,MULDROW,74948,SEQUOYAH,waste_disposal," SOONER MEDICAL WASTE MANAGEMENT, LLC"
"BURN IT THE LEGAL WAY, LLC ",WAAA-YVPD-PF6I,BURNITLEGALLY@GMAIL.COM,4053179998,OKLAHOMA CITY,73114,OKLAHOMA,waste_disposal," BURN IT THE LEGAL WAY, LLC"
AJP DISPOSAL LLC ,WAAA-VJ4M-N4ZT,AJPDISPOSALLLC@GMAIL.COM,4054298360,OKLAHOMA CITY,73106,OKLAHOMA,waste_disposal, CANNABIS RECYCLING COMPANY
ENSO SOLUTIONS LLC ,WAAA-NKR2-CRLO,INFO@ENSOSOLUTIONSLLC.COM,4054939392,OKLAHOMA CITY,73129,OKLAHOMA,waste_disposal, ENSO SOLUTIONS LLC
GREEN LEAF WASTE LLC ,WAAA-VYYU-I4KQ,NICK@FIRSTCOMPANIES.NET,4058485524,OKLAHOMA CITY,73109,OKLAHOMA,waste_disposal, GREEN LEAF WASTE
"ABRAXAS LABS, LLC ",LAAA-MOXZ-FQ1G,DRVADIM@ABRAXAS-LABS.COM,9189245164,BROKEN ARROW,74012,TULSA,laboratory, ABRAXAS LABS
BASELINE LABORATORIES LLC ,LAAA-4KTI-YEVJ,BMOSLEY@BASELINE-LABS.COM,4053902522,CHOCTAW,73020,OKLAHOMA,laboratory, BASELINE LABORATORIES LLC
BUD'S TESTING L.L.C ,LAAA-VYI5-JUJK,BRANDON@BUDSTESTING.COM,5807862173,DUNCAN,73533,STEPHENS,laboratory, BUD'S TESTING L.L.C ANALYTICAL LABORATORY
"QUALITY CANNABIS, LLC ",LAAA-NY91-LPUX,WEBBCRYSTAL77@YAHOO.COM,4054715367,EDMOND,73003,OKLAHOMA,laboratory,
EXPRESS TOXICOLOGY SERVICES LLC ,LAAA-E1LK-2BLG,INFO@EXPRESSTOXICOLOGYSERVICES.COM,4052165788,EDMOND,73013,OKLAHOMA,laboratory,
"HAVARD INDUSTRIES, LLC ",LAAA-8SPC-5FH4,JHAVARD@PROTONMAIL.COM,4058880961,EDMOND,73034,OKLAHOMA,laboratory,
TJB RESTRICTED HOLDINGS LLC ,LAAA-EKZ6-UNEB,TONY.BRIXEY@GENESISTESTINGLABS.COM,9187913460,GROVE,74344,DELAWARE,laboratory, GENESIS TESTING LABORATORIES
405 ANALYTICAL LLC ,LAAA-NYWH-5XOE,laboratory@405analytical.com,4055485734,MIDWEST CITY,73110,OKLAHOMA,laboratory,
RHINO LABS ,LAAA-NYJX-RQRM,RYAN@RHINOLABSOK.COM,4054657676,NORMAN,73069,CLEVELAND,laboratory,
"ANALYTICAL EDGE DISCOVERIES, LLC ",LAAA-HHN8-MXQQ,ROBERT@KAYCHALABS.COM,4053703776,OKLAHOMA CITY,73105,OKLAHOMA,laboratory, KAYCHA LABS
"SCISSORTAIL LABORATORY, LLC ",LAAA-NKSL-JY3L,INFO@SCISSORTAILLABS.COM,4057880247,OKLAHOMA CITY,73107,OKLAHOMA,laboratory,
INTEGRITY TESTING LABORATORIES LLC ,LAAA-SSUC-08SY,CHARLESBOGIEMD@ME.COM,4055943773,OKLAHOMA CITY,73112,OKLAHOMA,laboratory,
CANNABIS TESTING LLC ,LAAA-4YOC-PGXU,RBRITTEN@CANNABESTLABS.COM,4054882400,OKLAHOMA CITY,73118,OKLAHOMA,laboratory, CANNABEST LABS
HIGHGRADE LABS ,LAAA-NKSE-J8CM,LAB@HIGHGRADELABS.COM,4057248444,OKLAHOMA CITY,73129,OKLAHOMA,laboratory,
PURELABS-OKC ,LAAA-NJR1-YZAD,HPURDY@PURELABSOKC.COM,4058856411,OKLAHOMA CITY,73139,OKLAHOMA,laboratory, PURELABS
DELTA9 LABS LLC ,LAAA-4KCW-FBED,INFO@DELTA9LABSLLC.COM,5803049392,PONCA CITY,74601,KAY,laboratory,
"HIGHER TESTING, LLC ",LAAA-VK6A-DPMO,INFO@HIGHERTESTING.COM,9185718757,ROLAND,74954,SEQUOYAH,laboratory," HIGHER TESTING, LLC"
"ELITE ELEMENT TESTING LABORATORY, LLC ",LAAA-NJT2-DMOG,KANDICE.FAULKENBERRY@OK.STEEPHILL.COM,9183157892,SALLISAW,74955,SEQUOYAH,laboratory, STEEP HILL OKLAHOMA
"GREEN COUNTRY TESTING, INC. ",LAAA-AYUG-T2AU,BRIAND@GREENCOUNTRYTESTING.COM,9188289977,TULSA,74145,TULSA,laboratory,
"OK COMPLIANCE TESTING LAB, LLC ",LAAA-N1FX-P5VY,EPHILLIPS@OKCTL.COM,9188727015,TULSA,74146,TULSA,laboratory, OKCTL
T3 TESTING LLC ,LAAA-A0B5-KFMY,SCAMPBELL@STSOKLAHOMA.COM,9186450458,TULSA,74146,TULSA,laboratory, SPECIALTY TESTING SOLUTIONS OKLAHOMA
"CANNALYTICS LABORATORIES, LLC ",LAAA-4YTM-SXWD,WOK@PROCANNALYTICS.COM,5803028196,WEATHERFORD,73096,CUSTER,laboratory," CANNALYTICS LABORATORIES, LLC"
AFFORDABLE CANNABIS LLC ,DAAA-4YLJ-MSMT,BELINDASLAKEPARADISE@GMAIL.COM,5803202301,ADA,74820,PONTOTOC,dispensaries, AFFORDABLE CANNABIS LLC
ALL NATURAL SOLUTIONS LLC ,DAAA-7AIW-VKIL,ALLNATURALADA@ATT.NET,5802724041,ADA,74820,PONTOTOC,dispensaries, ALL NATURAL SOLUTIONS
"ALPHA DISPENSARY OF OKLAHOMA, LLC ",DAAA-IAAN-QZA7,NEW.GARDEN.OK@GMAIL.COM,4048893333,ADA,74820,PONTOTOC,dispensaries,
CAIN'S CANNABIS ,DAAA-4KEO-TRND,TWOCAINS@YAHOO.COM,5802798435,ADA,74820,PONTOTOC,dispensaries, 2 CAIN'S LLC
CHIMNEY HILL APOTHECARY LLC ,DAAA-E11N-WX1L,CHIMNEYHILLAPOTHECARY@GMAIL.COM,5802790514,ADA,74820,PONTOTOC,dispensaries, CHIMNEY HILL APOTHECARY LLC
COLECAMP INC ,DAAA-EKJK-35PE,FLOWERCHILDORGANICSADA@GMAIL.COM,5805599220,ADA,74820,PONTOTOC,dispensaries, COLECAMP INC DBA FLOWER CHILD ORGANICS
"DAWN'S LIGHT, LLC ",DAAA-4K8B-V6IS,ARCHIEVANHORN@YAHOO.COM,5802724305,ADA,74820,PONTOTOC,dispensaries, DAWN'S LIGHT
"FLOWER-ON PRODUCTIONS, LLC ",DAAA-XH5T-95RJ,FLOWERONPRODUCTIONS@GMAIL.COM,5804651769,ADA,74820,PONTOTOC,dispensaries, FLOWER FACTORY FINE CANNABIS
"GREEN SUPREME DISPENSARY, LLC ",DAAA-EYOB-KFIV,GREENSUPREME2019@GMAIL.COM,4054206370,ADA,74820,PONTOTOC,dispensaries, GREEN SUPREME
HAZE THERAPEUTICS LLC ,DAAA-4J26-L4KG,DAVIDBAYSIDE@GMAIL.COM,5803993370,ADA,74820,PONTOTOC,dispensaries,
KSPM MEDICAL LLC ,DAAA-4JMT-NXSO,KEVINOKC405@GMAIL.COM,4053712484,ADA,74820,PONTOTOC,dispensaries, CBD PLUS USA
NATIVE HARVEST LLC ,DAAA-EJNQ-IBYL,MARTYL@BIGREDSPORTS.COM,4056065588,ADA,74820,PONTOTOC,dispensaries,
PAMELA BRANNON ,DAAA-VKDP-HYFV,PT_550@HOTMAIL.COM,5802796971,ADA,74820,PONTOTOC,dispensaries, PARADISE DISPENSARIES
DIESEL CANNABIS COMPANY ,DAAA-VJD6-BUE4,LEDDY.MICHAEL@ICLOUD.COM,7193515122,BETHANY,73008,OKLAHOMA,dispensaries, DIESEL
FIRE HOUSE LLC ,DAAA-UISI-Z823,V.M.GREENJR@GMAIL.COM,4059628438,BETHANY,73008,OKLAHOMA,dispensaries,
"GAYLE'S MEDICAL MARIJUANA, LLC ",DAAA-E1YY-THU9,GAYLESMMLLC@GMAIL.COM,4052016178,BETHANY,73008,OKLAHOMA,dispensaries, GAYLE'S DISPENSARY
IRIE COUGHEE SHOP L.L.C. ,DAAA-4JIM-62W0,IRIECOUGHEE@GMAIL.COM,4055144226,BETHANY,73008,OKLAHOMA,dispensaries, IRIE COUGHEE SHOP L.L.C.
KNUCKLEHEADS DISPENSARY LLC ,DAAA-B09C-S0FQ,MONTY_DANIELS@YAHOO.COM,4052749442,BETHANY,73008,OKLAHOMA,dispensaries, KNUCKLEHEADS DISPENSARY
KOTTON MOUTH DISPENSARY LLC ,DAAA-TOI2-8KUX,COURTNEYTHANPHACHANH@ICLOUD.COM,4056251684,BETHANY,73008,OKLAHOMA,dispensaries, KOTTON MOUTH DISPENSARY
MEDICANN-OK LLC ,DAAA-E1KS-QXIB,MEDICANNOK@GMAIL.COM,4054700642,BETHANY,73008,OKLAHOMA,dispensaries,
NEEDHAM JO ENTERPRISE LLC ,DAAA-4J2K-YMIV,DAVID.WALKER3524@GMAIL.COM,8189705222,BETHANY,73008,OKLAHOMA,dispensaries, THE GREAT BARRIER REEFER MEDICAL DISPENSARY
SB BETHANY LLC ,DAAA-EKCA-1V0Q,JJJONES3030@ICLOUD.COM,4058088726,BETHANY,73008,OKLAHOMA,dispensaries, STARBUDS
THE LEAF HEALTHY LIVING LLC ,DAAA-41JK-ZF51,V.M.GREENJR@GMAIL.COM,4059628438,BETHANY,73008,OKLAHOMA,dispensaries, THE LEAF
"THE SMELLY CLOUD, LLC ",DAAA-VJ7R-HTKX,MIKEARNETT1@GMAIL.COM,4057670522,BETHANY,73008,OKLAHOMA,dispensaries,
