business,license,email,phone,city,zip,county,license_type,trade_name
CALYX ORGANIX ,GAAA-EKEC-HK8N,MJBING78@HOTMAIL.COM,2146204308,ACHILLE,74720,BRYAN,growers, CALYX ORGANIX
GATORJACKS RANCH LLC ,GAAA-HQLJ-7DMZ,SKPATT0582@YAHOO.COM,5809205074,ACHILLE,74720,BRYAN,growers, GATORJACKS RANCH LLC
"4H PHARMS, LLC ",GAAA-SPNU-6L9I,KIMBER@4HPHARMS.COM,5803203062,ADA,74820,PONTOTOC,growers,
"7 LEAF SOLUTIONS, LLC ",GAAA-EYBQ-7UFS,7LEAFSOKLAHOMA@GMAIL.COM,2097693036,ADA,74820,PONTOTOC,growers," 7 LEAF SOLUTIONS, LLC"
"7 LEAF SOLUTIONS, LLC ",GAAA-4JBJ-BTWC,7LEAFSOKLAHOMA@GMAIL.COM,2097771037,ADA,74820,PONTOTOC,growers," 7 LEAF SOLUTIONS, LLC"
"BEST GREEN COMPANY OF OKLAHOMA, LLC ",GAAA-VCBC-F9J4,NEW.GARDEN.OK@GMAIL.COM,4048893333,ADA,74820,PONTOTOC,growers,
"BEST HEALTH PHARMS OF OKLAHOMA, LLC ",GAAA-JUEF-NTTB,BEST.HEALTH.OKLA@GMAIL.COM,7709886666,ADA,74820,PONTOTOC,growers,
"BOOMIN BUDS, LLC ",GAAA-QLUP-URTZ,MR@TSGATTORNEYS.COM,9185085390,ADA,74820,PONTOTOC,growers,
"CARNAL FARMS, LLC ",GAAA-ZHUL-EPZY,CARNAL.FARMS.OK@GMAIL.COM,8322903467,ADA,74820,PONTOTOC,growers," CARNAL FARMS, LLC"
"DAWN'S LIGHT, LLC ",GAAA-V1JU-NKDS,ARCHIEVANHORN@YAHOO.COM,5802724305,ADA,74820,PONTOTOC,growers, DAWN'S LIGHT
"DEJUNF, LLC ",GAAA-HMT4-O9GC,DEJUNF.FARM@GMAIL.COM,9188778961,ADA,74820,PONTOTOC,growers," DEJUNF, LLC"
"EMERALD DREAM FARM, INC ",GAAA-E32U-8MP0,KSUMTER@KADAM.TECH,9184079809,ADA,74820,PONTOTOC,growers,
"EVERLASTING FORTUNE, INC ",GAAA-DLE9-4H6V,KSUMTER@KADAM.TECH,9184079809,ADA,74820,PONTOTOC,growers,
LAUGHING GAS FARMS L.L.C. ,GAAA-EYDQ-HMZL,DEANTAYLOR716@GMAIL.COM,5804959554,ALLEN,74825,PONTOTOC,growers, LAUGHING GAS FARMS L.L.C.
LAUGHING GAS FARMS L.L.C. ,GAAA-6UB3-Q4BS,LAUGHINGGASFARMS@YAHOO.COM,5804959554,ALLEN,74825,HUGHES,growers, THE OUTFIELD
SOUTHERN BUDS FAMILY LLC ,GAAA-VKKO-LVMG,SOUTHERNBUDSLLC@GMAIL.COM,4057120490,ALLEN,74825,HUGHES,growers, KUSH KORNER
THE HERBAL CURE GROWERS INCORPORATED ,GAAA-4Y1V-NXV4,THEHERBALCUREGROWERS@GMAIL.COM,5803201701,ALLEN,74825,PONTOTOC,growers, THE HERBAL CURE GROWERS
"ALTUS BUD, LLC ",GAAA-4JJC-LOWS,CAROLYNNICOLEM@GMAIL.COM,5803797977,ALTUS,73521,JACKSON,growers, ALTUS BUD
