business,license,email,phone,city,zip,county,license_type,trade_name
AAA PROCESSING LLC ,PAAA-7MU6-ZGRF,CORTEZCOLEMAN@ICLOUD.COM,5803996215,ADA,74820,PONTOTOC,processor, AAA PROCESSING LLC
ALL NATURAL SOLUTIONS LLC ,PAAA-SBDR-JD2T,ALLNATURALADA@ATT.NET,5802724041,ADA,74820,PONTOTOC,processor, ALL NATURAL
BDR SOLUTIONS LLC ,PAAA-4Y3H-CPRI,BELINDASLAKEPARADISE@GMAIL.COM,5803202301,ADA,74820,PONTOTOC,processor, BDR SOLUTIONS
BIG POPPA'S LLC ,PAAA-NYLS-DU8H,BIGPOPPASLLC@YAHOO.COM,5804212323,ADA,74820,PONTOTOC,processor, BIG POPPA'S LLC
BOGGY CREEK FARMS ,PAAA-VWNV-RB5K,RUSSLOLLAR@GMAIL.COM,5803990636,ADA,74820,PONTOTOC,processor, BOGGY CREEK FARMS
DALLAS SKYLINE CORPORATION ,PAAA-4JBM-UBWU,QUORUM@VESLOILS.COM,4697048234,ADA,74820,PONTOTOC,processor, DANK OF AMERICA
EL DIABLO'S LETTUCE INCORPORATED ,PAAA-EKA8-9IW7,MIKEB69691987@GMAIL.COM,5803200759,ADA,74820,PONTOTOC,processor,
"EXTRA TERRITORY LABS, LLC ",PAAA-EJLA-GEVD,ASINGER@DERRYBERRYLAW.COM,4055286569,ADA,74820,PONTOTOC,processor,
"HG VENTURES, L.L.C. ",PAAA-VJU8-YPS7,HGVENTURESLLC@GMAIL.COM,5803990441,ADA,74820,PONTOTOC,processor, PROGRESSIVE GROW LABS
KIND ORIGIN CANNABIS LLC ,PAAA-4KUF-ZP8D,CAMRONOWENS9@GMAIL.COM,5802790790,ADA,74820,PONTOTOC,processor,
LEGACY LABORATORIES LLC ,PAAA-1L4U-DHQX,LEGACYLABS20@GMAIL.COM,4057120317,ADA,74820,PONTOTOC,processor,
MYSTIK FARMS LLC ,PAAA-VJ7N-P1YV,ARYDANIA@COMCAST.NET,5806659024,ADA,74820,PONTOTOC,processor, MYSTIK FARMS
"PONTOTOC CANNABIS, LLC ",PAAA-4118-3TM8,SHANE.CRISTELLI@GMAIL.COM,5806655077,ADA,74820,PONTOTOC,processor, PONTOTOC EXTRACTS
"MEDIREC OKLAHOMA, LLC ",PAAA-NYFD-3MUV,MATT@STACYLEGALGROUP.COM,4058167228,BLANCHARD,73010,GRADY,processor," MEDIREC OKLAHOMA, LLC"
MY LIEN GREEN LLC ,PAAA-VDFC-WGX5,MATT@STACYLEGALGROUP.COM,4058167228,BLANCHARD,73010,GRADY,processor,
NTP BROS LLC ,PAAA-RBZL-B5OG,MATT@STACYLEGALGROUP.COM,4057353800,BLANCHARD,73010,GRADY,processor, NTP BROS LLC
OKLAHOMA GREEN LLC ,PAAA-NJSH-GRSI,BRYCE@BINYONLS.COM,4057602706,BLANCHARD,73010,MCCLAIN,processor, OKLAHOMA GREEN LLC
