business,license,email,phone,city,zip,county,license_type,trade_name
AFFORDABLE CANNABIS LLC ,DAAA-4YLJ-MSMT,BELINDASLAKEPARADISE@GMAIL.COM,5803202301,ADA,74820,PONTOTOC,dispensaries, AFFORDABLE CANNABIS LLC
ALL NATURAL SOLUTIONS LLC ,DAAA-7AIW-VKIL,ALLNATURALADA@ATT.NET,5802724041,ADA,74820,PONTOTOC,dispensaries, ALL NATURAL SOLUTIONS
"ALPHA DISPENSARY OF OKLAHOMA, LLC ",DAAA-IAAN-QZA7,NEW.GARDEN.OK@GMAIL.COM,4048893333,ADA,74820,PONTOTOC,dispensaries,
CAIN'S CANNABIS ,DAAA-4KEO-TRND,TWOCAINS@YAHOO.COM,5802798435,ADA,74820,PONTOTOC,dispensaries, 2 CAIN'S LLC
CHIMNEY HILL APOTHECARY LLC ,DAAA-E11N-WX1L,CHIMNEYHILLAPOTHECARY@GMAIL.COM,5802790514,ADA,74820,PONTOTOC,dispensaries, CHIMNEY HILL APOTHECARY LLC
COLECAMP INC ,DAAA-EKJK-35PE,FLOWERCHILDORGANICSADA@GMAIL.COM,5805599220,ADA,74820,PONTOTOC,dispensaries, COLECAMP INC DBA FLOWER CHILD ORGANICS
"DAWN'S LIGHT, LLC ",DAAA-4K8B-V6IS,ARCHIEVANHORN@YAHOO.COM,5802724305,ADA,74820,PONTOTOC,dispensaries, DAWN'S LIGHT
"FLOWER-ON PRODUCTIONS, LLC ",DAAA-XH5T-95RJ,FLOWERONPRODUCTIONS@GMAIL.COM,5804651769,ADA,74820,PONTOTOC,dispensaries, FLOWER FACTORY FINE CANNABIS
"GREEN SUPREME DISPENSARY, LLC ",DAAA-EYOB-KFIV,GREENSUPREME2019@GMAIL.COM,4054206370,ADA,74820,PONTOTOC,dispensaries, GREEN SUPREME
HAZE THERAPEUTICS LLC ,DAAA-4J26-L4KG,DAVIDBAYSIDE@GMAIL.COM,5803993370,ADA,74820,PONTOTOC,dispensaries,
KSPM MEDICAL LLC ,DAAA-4JMT-NXSO,KEVINOKC405@GMAIL.COM,4053712484,ADA,74820,PONTOTOC,dispensaries, CBD PLUS USA
NATIVE HARVEST LLC ,DAAA-EJNQ-IBYL,MARTYL@BIGREDSPORTS.COM,4056065588,ADA,74820,PONTOTOC,dispensaries,
PAMELA BRANNON ,DAAA-VKDP-HYFV,PT_550@HOTMAIL.COM,5802796971,ADA,74820,PONTOTOC,dispensaries, PARADISE DISPENSARIES
DIESEL CANNABIS COMPANY ,DAAA-VJD6-BUE4,LEDDY.MICHAEL@ICLOUD.COM,7193515122,BETHANY,73008,OKLAHOMA,dispensaries, DIESEL
FIRE HOUSE LLC ,DAAA-UISI-Z823,V.M.GREENJR@GMAIL.COM,4059628438,BETHANY,73008,OKLAHOMA,dispensaries,
"GAYLE'S MEDICAL MARIJUANA, LLC ",DAAA-E1YY-THU9,GAYLESMMLLC@GMAIL.COM,4052016178,BETHANY,73008,OKLAHOMA,dispensaries, GAYLE'S DISPENSARY
IRIE COUGHEE SHOP L.L.C. ,DAAA-4JIM-62W0,IRIECOUGHEE@GMAIL.COM,4055144226,BETHANY,73008,OKLAHOMA,dispensaries, IRIE COUGHEE SHOP L.L.C.
KNUCKLEHEADS DISPENSARY LLC ,DAAA-B09C-S0FQ,MONTY_DANIELS@YAHOO.COM,4052749442,BETHANY,73008,OKLAHOMA,dispensaries, KNUCKLEHEADS DISPENSARY
